linha_original,disciplina,hierarquia_codigo,nivel_profundidade,assunto_nivel_1,assunto_nivel_2,assunto_nivel_3,assunto_nivel_4,assunto_especifico,quantidade_encontrada,porcentagem_encontrada,quantidade_caderno,porcentagem_caderno
492,História,02.07.05,3,História do Brasil,Era Vargas (1930-1945),"Religião, Sociedade e Cultura na Era Vargas. Movimentos Sociais (AIB, ANL, Movimento Comunista, Movimento Modernista, etc)",,"Religião, Sociedade e Cultura na Era Vargas. Movimentos Sociais (AIB, ANL, Movimento Comunista, Movimento Modernista, etc)",4,0.07,4,0.07
493,História,02.07.06,3,História do Brasil,Era Vargas (1930-1945),O Pós-guerra e a Crise Final do Estado Novo,,O Pós-guerra e a Crise Final do Estado Novo,13,0.22,13,0.22
494,História,02.07.07,3,História do Brasil,Era Vargas (1930-1945),Outras Questões sobre Era Vargas,,Outras Questões sobre Era Vargas,7,0.12,7,0.12
495,História,02.08,2,História do Brasil,República Liberal (1945-1964),,,República Liberal (1945-1964),88,1.48,88,1.48
496,História,02.08.01,3,História do Brasil,República Liberal (1945-1964),Política e Economia na República Liberal,,Política e Economia na República Liberal,51,0.86,51,0.86
497,História,02.08.01.01,4,História do Brasil,República Liberal (1945-1964),Política e Economia na República Liberal,Governo Dutra e Constituição de 1946,Governo Dutra e Constituição de 1946,10,0.17,10,0.17
498,História,02.08.01.02,4,História do Brasil,República Liberal (1945-1964),Política e Economia na República Liberal,Governo Getúlio Vargas (1951 - 1954),Governo Getúlio Vargas (1951 - 1954),6,0.1,6,0.1
499,História,02.08.01.03,4,História do Brasil,República Liberal (1945-1964),Política e Economia na República Liberal,"Governo JK (Plano de Metas, Construção de Brasília)","Governo JK (Plano de Metas, Construção de Brasília)",25,0.42,25,0.42
500,História,02.08.01.04,4,História do Brasil,República Liberal (1945-1964),Política e Economia na República Liberal,Governo Jânio Quadros (1961),Governo Jânio Quadros (1961),2,0.03,2,0.03
501,História,02.08.01.05,4,História do Brasil,República Liberal (1945-1964),Política e Economia na República Liberal,Governo João Goulart e Golpe de 1964,Governo João Goulart e Golpe de 1964,8,0.13,8,0.13
502,História,02.08.02,3,História do Brasil,República Liberal (1945-1964),Política Externa na República Liberal ,,Política Externa na República Liberal ,25,0.42,25,0.42
503,História,02.08.03,3,História do Brasil,República Liberal (1945-1964),"Artes, Cultura e sociedade na República Liberal",,"Artes, Cultura e sociedade na República Liberal",1,0.02,1,0.02
504,História,02.08.04,3,História do Brasil,República Liberal (1945-1964),Outras Questões e Questões Mescladas sobre República Liberal,,Outras Questões e Questões Mescladas sobre República Liberal,11,0.19,11,0.19
505,História,02.09,2,História do Brasil,Regime Militar (1964-1985),,,Regime Militar (1964-1985),67,1.13,67,1.13
506,História,02.09.01,3,História do Brasil,Regime Militar (1964-1985),"Consolidação do Regime Militar (1964 - 1968; Inclui AI-1 até AI-4, e CF 1967)",,"Consolidação do Regime Militar (1964 - 1968; Inclui AI-1 até AI-4, e CF 1967)",4,0.07,4,0.07
507,História,02.09.02,3,História do Brasil,Regime Militar (1964-1985),"Repressão Aberta e Autoritarismo Máximo (1968 - 1974; AI-5, EC 1/69, DOI-CODI, Guerrilha do Araguaia)",,"Repressão Aberta e Autoritarismo Máximo (1968 - 1974; AI-5, EC 1/69, DOI-CODI, Guerrilha do Araguaia)",5,0.08,5,0.08
508,História,02.09.03,3,História do Brasil,Regime Militar (1964-1985),Abertura e Transição Democrática (1974 - 1985),,Abertura e Transição Democrática (1974 - 1985),13,0.22,13,0.22
509,História,02.09.04,3,História do Brasil,Regime Militar (1964-1985),Economia no Regime Militar,,Economia no Regime Militar,13,0.22,13,0.22
510,História,02.09.05,3,História do Brasil,Regime Militar (1964-1985),"Reformas Administrativas, Investimentos e Reformas Públicas no Regime Militar: o Brasil Potência",,"Reformas Administrativas, Investimentos e Reformas Públicas no Regime Militar: o Brasil Potência",5,0.08,5,0.08
511,História,02.09.06,3,História do Brasil,Regime Militar (1964-1985),Política Externa do Regime Militar,,Política Externa do Regime Militar,21,0.35,21,0.35
512,História,02.09.07,3,História do Brasil,Regime Militar (1964-1985),"Artes, Cultura e Sociedade no Regime Militar",,"Artes, Cultura e Sociedade no Regime Militar",3,0.05,3,0.05
513,História,02.09.08,3,História do Brasil,Regime Militar (1964-1985),Outras Questões e Questões Mescladas sobre o Regime Militar,,Outras Questões e Questões Mescladas sobre o Regime Militar,3,0.05,3,0.05
514,História,02.10,2,História do Brasil,Nova República,,,Nova República,53,0.89,53,0.89
515,História,02.10.01,3,História do Brasil,Nova República,A Redemocratização na Nova República e a Constituição de 1988,,A Redemocratização na Nova República e a Constituição de 1988,23,0.39,23,0.39
516,História,02.10.02,3,História do Brasil,Nova República,Política Brasileira na Nova República,,Política Brasileira na Nova República,2,0.03,2,0.03
517,História,02.10.03,3,História do Brasil,Nova República,Economia Brasileira da Nova República: da Hiperinflação à Globalização e o Neodesenvolvimentismo,,Economia Brasileira da Nova República: da Hiperinflação à Globalização e o Neodesenvolvimentismo,16,0.27,16,0.27
518,História,02.10.04,3,História do Brasil,Nova República,Política Externa na Nova República,,Política Externa na Nova República,5,0.08,5,0.08
519,História,02.10.05,3,História do Brasil,Nova República,"Artes, Cultura e Sociedade na Nova República",,"Artes, Cultura e Sociedade na Nova República",7,0.12,7,0.12
520,História,02.11,2,História do Brasil,História dos Estados,,,História dos Estados,1,0.02,1,0.02
521,História,02.11.01,3,História do Brasil,História dos Estados,História do Acre,,História do Acre,1,0.02,1,0.02
522,História,02.12,2,História do Brasil,História Militar e Naval,,,História Militar e Naval,1,0.02,1,0.02
523,História,03,1,História Geral,,,,História Geral,750,12.62,750,12.62
524,História,03.01,2,História Geral,Idade Moderna,,,Idade Moderna,34,0.57,34,0.57
525,História,03.01.01,3,História Geral,Idade Moderna,"Mercantilismo, Grandes Navegações e Colonialismo",,"Mercantilismo, Grandes Navegações e Colonialismo",13,0.22,13,0.22
526,História,03.01.01.01,4,História Geral,Idade Moderna,"Mercantilismo, Grandes Navegações e Colonialismo",Grandes Navegações,Grandes Navegações,1,0.02,1,0.02
527,História,03.01.01.02,4,História Geral,Idade Moderna,"Mercantilismo, Grandes Navegações e Colonialismo",Colonialismo,Colonialismo,5,0.08,5,0.08
528,História,03.01.01.03,4,História Geral,Idade Moderna,"Mercantilismo, Grandes Navegações e Colonialismo",Mercantilismo,Mercantilismo,7,0.12,7,0.12
529,História,03.01.02,3,História Geral,Idade Moderna,Iluminismo,,Iluminismo,4,0.07,4,0.07
530,História,03.01.03,3,História Geral,Idade Moderna,"Estados Modernos, Antigo Regime e Absolutismo",,"Estados Modernos, Antigo Regime e Absolutismo",2,0.03,2,0.03
531,História,03.01.04,3,História Geral,Idade Moderna,"Povos Americanos (Maias, Astecas e Incas)",,"Povos Americanos (Maias, Astecas e Incas)",1,0.02,1,0.02
532,História,03.01.05,3,História Geral,Idade Moderna,"Artes, Culturas e Sociedades: do Renascimento ao Pré-romantismo",,"Artes, Culturas e Sociedades: do Renascimento ao Pré-romantismo",3,0.05,3,0.05
533,História,03.01.06,3,História Geral,Idade Moderna,"Revolução Inglesa (Puritana, Guerra Civil, Oliver Cromwell, Stuart, Revolução Gloriosa)",,"Revolução Inglesa (Puritana, Guerra Civil, Oliver Cromwell, Stuart, Revolução Gloriosa)",4,0.07,4,0.07
534,História,03.01.07,3,História Geral,Idade Moderna,"Formação dos Estados Unidos (13 colonias, Guerra de Independência)",,"Formação dos Estados Unidos (13 colonias, Guerra de Independência)",7,0.12,7,0.12
535,História,03.02,2,História Geral,História Contemporânea,,,História Contemporânea,711,11.97,711,11.97
536,História,03.02.01,3,História Geral,História Contemporânea,Século XIX,,Século XIX,333,5.61,333,5.61
537,História,03.02.01.01,4,História Geral,História Contemporânea,Século XIX,Revolução Francesa e Era Napoleônica,Revolução Francesa e Era Napoleônica,20,0.34,20,0.34
538,História,03.02.01.02,4,História Geral,História Contemporânea,Século XIX,O Congresso de Viena e a Restauração do Antigo Regime,O Congresso de Viena e a Restauração do Antigo Regime,29,0.49,29,0.49
539,História,03.02.01.03,4,História Geral,História Contemporânea,Século XIX,As Revoluções Burguesas e o Nacionalismo,As Revoluções Burguesas e o Nacionalismo,69,1.16,69,1.16
540,História,03.02.01.04,4,História Geral,História Contemporânea,Século XIX,"Revolução Industrial, Vida Econômica e Transformações Sociais","Revolução Industrial, Vida Econômica e Transformações Sociais",59,0.99,59,0.99
541,História,03.02.01.05,4,História Geral,História Contemporânea,Século XIX,Vida Política pós-1848 e o Fim de Século,Vida Política pós-1848 e o Fim de Século,50,0.84,50,0.84
542,História,03.02.01.06,4,História Geral,História Contemporânea,Século XIX,Imperialismo do Século XIX,Imperialismo do Século XIX,63,1.06,63,1.06
543,História,03.02.01.07,4,História Geral,História Contemporânea,Século XIX,A América no Século XIX,A América no Século XIX,43,0.72,43,0.72
544,História,03.02.02,3,História Geral,História Contemporânea,Século XX,,Século XX,328,5.52,328,5.52
545,História,03.02.02.01,4,História Geral,História Contemporânea,Século XX,A Crise Internacional e a Primeira Guerra Mundial,A Crise Internacional e a Primeira Guerra Mundial,54,0.91,54,0.91
546,História,03.02.02.02,4,História Geral,História Contemporânea,Século XX,Revolução Russa (1917),Revolução Russa (1917),23,0.39,23,0.39
547,História,03.02.02.03,4,História Geral,História Contemporânea,Século XX,Período Entreguerras,Período Entreguerras,15,0.25,15,0.25
548,História,03.02.02.04,4,História Geral,História Contemporânea,Século XX,Segunda Guerra Mundial (1939-1945),Segunda Guerra Mundial (1939-1945),44,0.74,44,0.74
549,História,03.02.02.05,4,História Geral,História Contemporânea,Século XX,Guerra Fria e as Superpotências,Guerra Fria e as Superpotências,70,1.18,70,1.18
550,História,03.02.02.06,4,História Geral,História Contemporânea,Século XX,Descolonização Afro-asiática,Descolonização Afro-asiática,39,0.66,39,0.66
551,História,03.02.02.07,4,História Geral,História Contemporânea,Século XX,Economia no Século XX,Economia no Século XX,33,0.56,33,0.56
552,História,03.02.02.08,4,História Geral,História Contemporânea,Século XX,América Latina no Século XX,América Latina no Século XX,21,0.35,21,0.35
553,História,03.02.02.09,4,História Geral,História Contemporânea,Século XX,Europa no Século XX: da Reconstrução à União Europeia,Europa no Século XX: da Reconstrução à União Europeia,18,0.3,18,0.3
554,História,03.02.02.10,4,História Geral,História Contemporânea,Século XX,África e Ásia Pós-descolonização,África e Ásia Pós-descolonização,4,0.07,4,0.07
555,História,03.02.02.11,4,História Geral,História Contemporânea,Século XX,O Fim da Bipolaridade e a Nova Ordem Mundial,O Fim da Bipolaridade e a Nova Ordem Mundial,7,0.12,7,0.12
556,História,03.02.03,3,História Geral,História Contemporânea,Artes e Cultura desde 1789,,Artes e Cultura desde 1789,39,0.66,39,0.66
557,História,03.02.04,3,História Geral,História Contemporânea,Pensamento Filosófico e Político desde 1789,,Pensamento Filosófico e Político desde 1789,11,0.19,11,0.19
558,História,03.03,2,História Geral,Século XXI,,,Século XXI,5,0.08,5,0.08
559,História,04,1,Apoio,,,,Apoio,3,0.05,3,0.05
560,História,05,1,Sem Classificação,,,,Sem Classificação,55,0.93,55,0.93
561,Geografia,,0,,,,,Geografia,431,7.25,431,7.25
562,Geografia,01,1,Pensamento Geográfico,,,,Pensamento Geográfico,46,0.77,46,0.77
563,Geografia,01.01,2,Pensamento Geográfico,Evolução (História) do Pensamento Geográfico,,,Evolução (História) do Pensamento Geográfico,36,0.61,36,0.61
564,Geografia,01.02,2,Pensamento Geográfico,Conceitos Chave em Geografia,,,Conceitos Chave em Geografia,10,0.17,10,0.17
565,Geografia,02,1,Geografia da População,,,,Geografia da População,52,0.88,52,0.88
566,Geografia,02.01,2,Geografia da População,População Mundial,,,População Mundial,6,0.1,6,0.1
567,Geografia,02.02,2,Geografia da População,População Brasileira,,,População Brasileira,23,0.39,23,0.39
568,Geografia,02.03,2,Geografia da População,"Migração, Imigração e Emigração",,,"Migração, Imigração e Emigração",23,0.39,23,0.39
569,Geografia,03,1,Geografia Econômica,,,,Geografia Econômica,91,1.53,91,1.53
570,Geografia,03.01,2,Geografia Econômica,Globalização e Divisão Internacional do Trabalho,,,Globalização e Divisão Internacional do Trabalho,24,0.4,24,0.4
571,Geografia,03.02,2,Geografia Econômica,Sistemas Político-Econômicos,,,Sistemas Político-Econômicos,1,0.02,1,0.02
572,Geografia,03.03,2,Geografia Econômica,Comércio Mundial,,,Comércio Mundial,3,0.05,3,0.05
573,Geografia,03.04,2,Geografia Econômica,Blocos Regionais,,,Blocos Regionais,22,0.37,22,0.37
574,Geografia,03.05,2,Geografia Econômica,Energia no Mundo,,,Energia no Mundo,4,0.07,4,0.07
575,Geografia,03.06,2,Geografia Econômica,Outros temas de Geografia Econômica no Mundo,,,Outros temas de Geografia Econômica no Mundo,5,0.08,5,0.08
576,Geografia,03.07,2,Geografia Econômica,Geografia Econômica do Brasil,,,Geografia Econômica do Brasil,32,0.54,32,0.54
577,Geografia,03.07.01,3,Geografia Econômica,Geografia Econômica do Brasil,Industrialização,,Industrialização,12,0.2,12,0.2
578,Geografia,03.07.02,3,Geografia Econômica,Geografia Econômica do Brasil,Infraestrutura e Logística,,Infraestrutura e Logística,6,0.1,6,0.1
579,Geografia,03.07.03,3,Geografia Econômica,Geografia Econômica do Brasil,Energia no Brasil,,Energia no Brasil,5,0.08,5,0.08
580,Geografia,03.07.04,3,Geografia Econômica,Geografia Econômica do Brasil,Política e Desigualdade Regional,,Política e Desigualdade Regional,8,0.13,8,0.13
581,Geografia,03.07.05,3,Geografia Econômica,Geografia Econômica do Brasil,Outros temas de Geografia Econômica do Brasil,,Outros temas de Geografia Econômica do Brasil,1,0.02,1,0.02
582,Geografia,04,1,Geografia Urbana,,,,Geografia Urbana,46,0.77,46,0.77
583,Geografia,04.01,2,Geografia Urbana,Urbanização,,,Urbanização,40,0.67,40,0.67
584,Geografia,04.01.01,3,Geografia Urbana,Urbanização,Urbanização Mundial,,Urbanização Mundial,11,0.19,11,0.19
585,Geografia,04.01.02,3,Geografia Urbana,Urbanização,Urbanização Brasileira,,Urbanização Brasileira,29,0.49,29,0.49
586,Geografia,04.02,2,Geografia Urbana,Metropolização,,,Metropolização,6,0.1,6,0.1
587,Geografia,04.02.01,3,Geografia Urbana,Metropolização,Metropolização no Brasil,,Metropolização no Brasil,6,0.1,6,0.1
588,Geografia,05,1,Geografia Agrária,,,,Geografia Agrária,55,0.93,55,0.93
589,Geografia,05.01,2,Geografia Agrária,Agropecuária no Mundo,,,Agropecuária no Mundo,10,0.17,10,0.17
590,Geografia,05.02,2,Geografia Agrária,Agropecuária no Brasil,,,Agropecuária no Brasil,45,0.76,45,0.76
591,Geografia,05.02.01,3,Geografia Agrária,Agropecuária no Brasil,Questão Agrária,,Questão Agrária,6,0.1,6,0.1
592,Geografia,05.02.02,3,Geografia Agrária,Agropecuária no Brasil,Agronegócio,,Agronegócio,39,0.66,39,0.66
593,Geografia,06,1,Geografia Política,,,,Geografia Política,47,0.79,47,0.79
594,Geografia,06.01,2,Geografia Política,Geografia Política no Mundo,,,Geografia Política no Mundo,28,0.47,28,0.47
595,Geografia,06.02,2,Geografia Política,Geopolítica do Brasil,,,Geopolítica do Brasil,7,0.12,7,0.12
596,Geografia,06.03,2,Geografia Política,Formação Territorial do Brasil,,,Formação Territorial do Brasil,9,0.15,9,0.15
597,Geografia,06.04,2,Geografia Política,Divisão Político-Administrativa e Regional do Brasil,,,Divisão Político-Administrativa e Regional do Brasil,3,0.05,3,0.05
598,Geografia,07,1,Geografia Cultural,,,,Geografia Cultural,4,0.07,4,0.07
599,Geografia,08,1,Geografia e Meio Ambiente,,,,Geografia e Meio Ambiente,34,0.57,34,0.57
600,Geografia,08.01,2,Geografia e Meio Ambiente,Desenvolvimento Sustentável,,,Desenvolvimento Sustentável,8,0.13,8,0.13
601,Geografia,08.02,2,Geografia e Meio Ambiente,Acordos e Tratados Internacionais sobre Meio Ambiente,,,Acordos e Tratados Internacionais sobre Meio Ambiente,11,0.19,11,0.19
602,Geografia,08.03,2,Geografia e Meio Ambiente,Planejamento e Zoneamento Ambiental,,,Planejamento e Zoneamento Ambiental,1,0.02,1,0.02
603,Geografia,08.04,2,Geografia e Meio Ambiente,Mudanças Climáticas e Aquecimento Global,,,Mudanças Climáticas e Aquecimento Global,5,0.08,5,0.08
604,Geografia,08.05,2,Geografia e Meio Ambiente,Política e Gestão Ambiental no Brasil,,,Política e Gestão Ambiental no Brasil,5,0.08,5,0.08
605,Geografia,08.06,2,Geografia e Meio Ambiente,Outros temas de Geografia e Meio Ambiente no Mundo,,,Outros temas de Geografia e Meio Ambiente no Mundo,1,0.02,1,0.02
606,Geografia,08.07,2,Geografia e Meio Ambiente,Outros temas de Geografia e Meio Ambiente no Brasil,,,Outros temas de Geografia e Meio Ambiente no Brasil,3,0.05,3,0.05
607,Geografia,09,1,Geografia Física,,,,Geografia Física,6,0.1,6,0.1
608,Geografia,09.01,2,Geografia Física,Ecologia,,,Ecologia,1,0.02,1,0.02
609,Geografia,09.02,2,Geografia Física,Pedologia,,,Pedologia,1,0.02,1,0.02
610,Geografia,09.03,2,Geografia Física,Meteorologia e Climatologia,,,Meteorologia e Climatologia,1,0.02,1,0.02
611,Geografia,09.04,2,Geografia Física,Hidrografia,,,Hidrografia,3,0.05,3,0.05
612,Geografia,10,1,Geografia Física do Brasil,,,,Geografia Física do Brasil,24,0.4,24,0.4
613,Geografia,10.01,2,Geografia Física do Brasil,Hidrografia Brasileira,,,Hidrografia Brasileira,4,0.07,4,0.07
614,Geografia,10.02,2,Geografia Física do Brasil,"Biomas, Domínios e Ecossistemas",,,"Biomas, Domínios e Ecossistemas",20,0.34,20,0.34
615,Geografia,11,1,Outros Temas de Geografia,,,,Outros Temas de Geografia,1,0.02,1,0.02
616,Geografia,12,1,Sem Classificação,,,,Sem Classificação,25,0.42,25,0.42
617,Literatura Brasileira e Estrangeira,,0,,,,,Literatura Brasileira e Estrangeira,22,0.37,22,0.37
618,Literatura Brasileira e Estrangeira,01,1,"Literatura Luso-Brasileira (características, autores e obras)",,,,"Literatura Luso-Brasileira (características, autores e obras)",5,0.08,5,0.08
619,Literatura Brasileira e Estrangeira,01.01,2,"Literatura Luso-Brasileira (características, autores e obras)","Barroco (Bento Teixeira, Gregório de Matos, Pe. Antônio Viera, etc)",,,"Barroco (Bento Teixeira, Gregório de Matos, Pe. Antônio Viera, etc)",1,0.02,1,0.02
620,Literatura Brasileira e Estrangeira,01.02,2,"Literatura Luso-Brasileira (características, autores e obras)","Realismo/Naturalismo (Machado de Assis, Aluísio Azevedo, R. Pompeia, etc)",,,"Realismo/Naturalismo (Machado de Assis, Aluísio Azevedo, R. Pompeia, etc)",1,0.02,1,0.02
621,Literatura Brasileira e Estrangeira,01.03,2,"Literatura Luso-Brasileira (características, autores e obras)",Pós Modernismo. Desconstrucionismo. Outros autores,,,Pós Modernismo. Desconstrucionismo. Outros autores,3,0.05,3,0.05
622,Literatura Brasileira e Estrangeira,02,1,"Literatura Estrangeira (história, escolas, autores e obras)",,,,"Literatura Estrangeira (história, escolas, autores e obras)",1,0.02,1,0.02
623,Literatura Brasileira e Estrangeira,03,1,Sem Classificação,,,,Sem Classificação,16,0.27,16,0.27
624,Línguas Estrangeiras Diversas,,0,,,,,Línguas Estrangeiras Diversas,1,0.02,1,0.02
625,Línguas Estrangeiras Diversas,01,1,Sem Classificação,,,,Sem Classificação,1,0.02,1,0.02
626,Finanças e Conhecimentos Bancários,,0,,,,,Finanças e Conhecimentos Bancários,13,0.22,13,0.22
627,Finanças e Conhecimentos Bancários,01,1,Sistema Financeiro Nacional,,,,Sistema Financeiro Nacional,9,0.15,9,0.15
628,Finanças e Conhecimentos Bancários,01.01,2,Sistema Financeiro Nacional,Órgãos e Entidades do SFN,,,Órgãos e Entidades do SFN,4,0.07,4,0.07
629,Finanças e Conhecimentos Bancários,01.01.01,3,Sistema Financeiro Nacional,Órgãos e Entidades do SFN,Composição Geral do SFN,,Composição Geral do SFN,2,0.03,2,0.03
630,Finanças e Conhecimentos Bancários,01.01.02,3,Sistema Financeiro Nacional,Órgãos e Entidades do SFN,BACEN (Banco Central do Brasil),,BACEN (Banco Central do Brasil),1,0.02,1,0.02
631,Finanças e Conhecimentos Bancários,01.01.03,3,Sistema Financeiro Nacional,Órgãos e Entidades do SFN,BNDES (Banco Nacional de Desenvolvimento Econômico e Social),,BNDES (Banco Nacional de Desenvolvimento Econômico e Social),1,0.02,1,0.02
632,Finanças e Conhecimentos Bancários,01.02,2,Sistema Financeiro Nacional,"Instituições e Acordos Internacionais (Acordo da Basileia, etc.)",,,"Instituições e Acordos Internacionais (Acordo da Basileia, etc.)",5,0.08,5,0.08
633,Finanças e Conhecimentos Bancários,02,1,Atualidades do Mercado Financeiro,,,,Atualidades do Mercado Financeiro,4,0.07,4,0.07
634,Finanças e Conhecimentos Bancários,02.01,2,Atualidades do Mercado Financeiro,"Fintechs, Startups e Big Techs",,,"Fintechs, Startups e Big Techs",4,0.07,4,0.07
635,Legislação Geral Federal,,0,,,,,Legislação Geral Federal,50,0.84,50,0.84
636,Legislação Geral Federal,01,1,Legislação das Carreiras do Executivo Federal,,,,Legislação das Carreiras do Executivo Federal,50,0.84,50,0.84
637,Legislação Geral Federal,01.01,2,Legislação das Carreiras do Executivo Federal,Lei nº 11.440/2006 - Regime Jurídico dos Servidores do Serviço Exterior,,,Lei nº 11.440/2006 - Regime Jurídico dos Servidores do Serviço Exterior,50,0.84,50,0.84
638,Direitos Humanos,,0,,,,,Direitos Humanos,18,0.3,18,0.3
639,Direitos Humanos,01,1,"Conceitos, Histórico e Gerações dos Direitos Humanos",,,,"Conceitos, Histórico e Gerações dos Direitos Humanos",2,0.03,2,0.03
640,Direitos Humanos,02,1,Carta Internacional dos Direitos Humanos,,,,Carta Internacional dos Direitos Humanos,1,0.02,1,0.02
641,Direitos Humanos,02.01,2,Carta Internacional dos Direitos Humanos,Declaração Universal dos Direitos Humanos (DUDH),,,Declaração Universal dos Direitos Humanos (DUDH),1,0.02,1,0.02
642,Direitos Humanos,03,1,Sistema Internacional de Proteção dos Direitos Humanos,,,,Sistema Internacional de Proteção dos Direitos Humanos,5,0.08,5,0.08
643,Direitos Humanos,03.01,2,Sistema Internacional de Proteção dos Direitos Humanos,Sistema Interamericano de Direitos Humanos,,,Sistema Interamericano de Direitos Humanos,3,0.05,3,0.05
644,Direitos Humanos,03.02,2,Sistema Internacional de Proteção dos Direitos Humanos,Outros Temas e Tópicos Mesclados de Proteção dos Direitos Humanos,,,Outros Temas e Tópicos Mesclados de Proteção dos Direitos Humanos,2,0.03,2,0.03
645,Direitos Humanos,04,1,Vigência e Eficácia das Normas do Direito Internacional de Direitos Humanos. Reservas e Denúncias,,,,Vigência e Eficácia das Normas do Direito Internacional de Direitos Humanos. Reservas e Denúncias,1,0.02,1,0.02
646,Direitos Humanos,05,1,Principais Convenções Internacionais de Direitos Humanos,,,,Principais Convenções Internacionais de Direitos Humanos,5,0.08,5,0.08
647,Direitos Humanos,05.01,2,Principais Convenções Internacionais de Direitos Humanos,Agenda 2030 - Desenvolvimento Sustentável,,,Agenda 2030 - Desenvolvimento Sustentável,1,0.02,1,0.02
648,Direitos Humanos,05.02,2,Principais Convenções Internacionais de Direitos Humanos,Convenção Americana sobre Direitos Humanos,,,Convenção Americana sobre Direitos Humanos,2,0.03,2,0.03
649,Direitos Humanos,05.02.01,3,Principais Convenções Internacionais de Direitos Humanos,Convenção Americana sobre Direitos Humanos,Deveres dos Estados e Direitos Protegidos (arts. 1º a 32 da CADH-OAS),,Deveres dos Estados e Direitos Protegidos (arts. 1º a 32 da CADH-OAS),1,0.02,1,0.02
650,Direitos Humanos,05.02.02,3,Principais Convenções Internacionais de Direitos Humanos,Convenção Americana sobre Direitos Humanos,Meios de Proteção (arts. 33 a 73 da CADH-OAS),,Meios de Proteção (arts. 33 a 73 da CADH-OAS),1,0.02,1,0.02
651,Direitos Humanos,05.03,2,Principais Convenções Internacionais de Direitos Humanos,Convenções da OIT sobre Direitos Humanos,,,Convenções da OIT sobre Direitos Humanos,1,0.02,1,0.02
652,Direitos Humanos,05.04,2,Principais Convenções Internacionais de Direitos Humanos,Convenção do Estatuto dos Refugiados (Lei nº 9.474/1997),,,Convenção do Estatuto dos Refugiados (Lei nº 9.474/1997),1,0.02,1,0.02
653,Direitos Humanos,06,1,Direito das Mulheres no Brasil,,,,Direito das Mulheres no Brasil,1,0.02,1,0.02
654,Direitos Humanos,07,1,Direitos Humanos na Constituição Federal,,,,Direitos Humanos na Constituição Federal,1,0.02,1,0.02
655,Direitos Humanos,08,1,Outros Tópicos sobre Direitos Humanos,,,,Outros Tópicos sobre Direitos Humanos,2,0.03,2,0.03
656,"Direito Marítimo, Portuário e Aeronáutico",,0,,,,,"Direito Marítimo, Portuário e Aeronáutico",1,0.02,1,0.02
657,"Direito Marítimo, Portuário e Aeronáutico",01,1,Lei nº 8.617/1993 - Mar Territorial entre outros,,,,Lei nº 8.617/1993 - Mar Territorial entre outros,1,0.02,1,0.02
